OK------>curAddr at 0x487A60
OK------>QuestFactionReward = 0x2d5f920
OK------>SpellActivationOverlay = 0x2d5fb10
OK------>ItemModifiedAppearanceExtra = 0x2d5fd00
OK------>UiModelSceneActor = 0x2d5fef0
OK------>ChatChannels = 0x2d600e0
OK------>GameObjectDisplayInfoXSoundKit = 0x2d602d0
OK------>AuctionHouseCategory = 0x2d604c0
OK------>GlyphSlot = 0x2d606b0
OK------>QuestFeedbackEffect = 0x2d608a0
OK------>Mount = 0x2d60a90
OK------>QuestObjective = 0x2d60c80
OK------>ItemNameDescription = 0x2d60e70
OK------>SpellAuraOptions = 0x2d61060
OK------>GameObjects = 0x2d61250
OK------>GMSurveyAnswers = 0x2d61440
OK------>UiModelSceneActorDisplay = 0x2d61630
OK------>QuestInfo = 0x2d61820
OK------>ItemPetFood = 0x2d61a10
OK------>AzeriteEmpoweredItem = 0x2d61c00
OK------>Startup_Strings = 0x2d62070
OK------>StartupFiles = 0x2d62260
OK------>Map = 0x2d62450
OK------>ModelFileData = 0x2d62640
OK------>SpellChainEffects = 0x2d62830
OK------>TextureBlendSet = 0x2d62a20
OK------>DeviceBlacklist = 0x2d62c10
OK------>DriverBlacklist = 0x2d62e00
OK------>Curve = 0x2d62ff0
OK------>CurvePoint = 0x2d631e0
OK------>ModelAnimCloakDampening = 0x2d633d0
OK------>ModelRibbonQuality = 0x2d635c0
OK------>Occluder = 0x2d637b0
OK------>OccluderLocation = 0x2d639a0
OK------>OccluderNode = 0x2d63b90
OK------>ParticulateSound = 0x2d63d80
OK------>RibbonQuality = 0x2d63f70
OK------>SoundBus = 0x2d64160
OK------>SoundBusOverride = 0x2d64350
OK------>SoundEmitterPillPoints = 0x2d64540
OK------>SoundEmitters = 0x2d64730
OK------>SoundEnvelope = 0x2d64920
OK------>SoundFilter = 0x2d64b10
OK------>SoundFilterElem = 0x2d64d00
OK------>SoundKitAdvanced = 0x2d64ef0
OK------>AreaTable = 0x2d650e0
OK------>AnimationData = 0x2d652d0
OK------>SoundKitChild = 0x2d654c0
OK------>SoundKitEntry = 0x2d656b0
OK------>BoneWindModifiers = 0x2d658a0
OK------>SoundKitFallback = 0x2d65a90
OK------>BoneWindModifierModel = 0x2d65c80
OK------>CelestialBody = 0x2d65e70
OK------>SoundKit = 0x2d66060
OK------>CloakDampening = 0x2d66250
OK------>FootprintTextures = 0x2d66440
OK------>FullScreenEffect = 0x2d66630
OK------>GroundEffectDoodad = 0x2d66820
OK------>GroundEffectTexture = 0x2d66a10
OK------>TerrainMaterial = 0x2d66c00
OK------>TerrainType = 0x2d66df0
OK------>Hotfixes = 0x2d66fe0
OK------>Light = 0x2d671d0
OK------>Lightning = 0x2d673c0
OK------>VirtualAttachment = 0x2d675b0
OK------>VirtualAttachmentCustomization = 0x2d677a0
OK------>VoiceOverPriority = 0x2d67990
OK------>Weather = 0x2d67b80
OK------>LightData = 0x2d67d70
OK------>WeatherXParticulate = 0x2d67f60
OK------>WindSettings = 0x2d68150
OK------>WMOAreaTable = 0x2d68340
OK------>LightParams = 0x2d68530
OK------>ZoneLightPoint = 0x2d68720
OK------>ZoneLight = 0x2d68910
OK------>LightSkybox = 0x2d68b00
OK------>LiquidMaterial = 0x2d68cf0
OK------>LiquidObject = 0x2d68ee0
OK------>LiquidType = 0x2d690d0
OK------>ChatProfanity = 0x31f2010
OK------>NamesProfanity = 0x31f2200
OK------>NamesReservedLocale = 0x31f23f0
OK------>NamesReserved = 0x31f25e0
OK------>GlobalStrings = 0x31f27d0
OK------>AzeriteTierUnlockSet = 0x31f29c0
OK------>AzeriteEssencePower = 0x31f2bb0
OK------>AzeriteEssence = 0x31f2da0
OK------>CommentatorIndirectSpell = 0x31f2f90
OK------>CommentatorTrackedCooldown = 0x31f3180
OK------>CommentatorStartLocation = 0x31f3370
OK------>ChrCustomizationCategory = 0x31f3560
OK------>ManifestInterfaceData = 0x31f3750
OK------>LFGDungeonExpansion = 0x31f3940
OK------>OccluderCurtain = 0x31f3b30
OK------>AzeriteKnowledgeMultiplier = 0x321b050
OK------>AzeriteLevelInfo = 0x321b240
OK------>SSAOSettings = 0x321b430
