OK------>curAddr at 0x6F7C20
OK------>LockType = 0x32e3790
OK------>AnimKitSegment = 0x32e3a30
OK------>BountySet = 0x32e3cd0
OK------>GarrString = 0x32e3f70
OK------>ScenarioStep = 0x32e4210
OK------>ItemDamageOneHand = 0x32e44b0
OK------>LookAtController = 0x32e4750
OK------>ExpectedStat = 0x32e49f0
OK------>CharacterLoadoutItem = 0x32e4c90
OK------>GarrTalent = 0x32e4f30
OK------>TransmogHoliday = 0x32e51d0
OK------>ItemDamageTwoHandCaster = 0x32e5470
OK------>CharacterServiceInfo = 0x32e5710
OK------>UiPartyPose = 0x32e59b0
OK------>TransmogSet = 0x32e5c50
OK------>SpellMissileMotion = 0x32e5ef0
OK------>SceneScriptPackage = 0x32e6190
OK------>CharBaseInfo = 0x32e6430
OK------>ItemDamageTwoHand = 0x32e66d0
OK------>ExpectedStatMod = 0x32e6970
OK------>CreatureDisplayInfoEvt = 0x32e6c10
OK------>SpellMissile = 0x32e6eb0
OK------>SceneScriptPackageMember = 0x32e7150
OK------>UiTextureAtlasElement = 0x32e73f0
OK------>AnimReplacement = 0x32e7690
OK------>CharBaseSection = 0x32e7930
OK------>ItemDisenchantLoot = 0x32e7bd0
OK------>UiTextureAtlasMember = 0x32e7e70
OK------>KeystoneAffix = 0x32e8110
OK------>TransmogSetGroup = 0x32e83b0
OK------>GarrTalentTree = 0x32e8650
OK------>SceneScript = 0x32e88f0
OK------>Startup_Strings = 0x32eb920
OK------>StartupFiles = 0x32ebbc0
OK------>Map = 0x32ebe60
OK------>ModelFileData = 0x32ec100
OK------>SpellChainEffects = 0x32ec3a0
OK------>TextureBlendSet = 0x32ec640
OK------>DeviceBlacklist = 0x32ec8e0
OK------>DriverBlacklist = 0x32ecb80
OK------>Curve = 0x32ece20
OK------>CurvePoint = 0x32ed0c0
OK------>LightSkybox = 0x32ed360
OK------>LiquidMaterial = 0x32ed600
OK------>ZoneLightPoint = 0x32ed8a0
OK------>LiquidObject = 0x32edb40
OK------>ZoneLight = 0x32edde0
OK------>LiquidType = 0x32ee080
OK------>ModelAnimCloakDampening = 0x32ee320
OK------>ModelRibbonQuality = 0x32ee5c0
OK------>Occluder = 0x32ee860
OK------>OccluderLocation = 0x32eeb00
OK------>OccluderNode = 0x32eeda0
OK------>ParticulateSound = 0x32ef040
OK------>RibbonQuality = 0x32ef2e0
OK------>SoundBus = 0x32ef580
OK------>SoundBusOverride = 0x32ef820
OK------>SoundEmitterPillPoints = 0x32efac0
OK------>SoundEmitters = 0x32efd60
OK------>SoundEnvelope = 0x32f0000
OK------>SoundFilter = 0x32f02a0
OK------>SoundFilterElem = 0x32f0540
OK------>SoundKitAdvanced = 0x32f07e0
OK------>AreaTable = 0x32f0a80
OK------>AnimationData = 0x32f0d20
OK------>SoundKitChild = 0x32f0fc0
OK------>BoneWindModifiers = 0x32f1260
OK------>SoundKitEntry = 0x32f1500
OK------>BoneWindModifierModel = 0x32f17a0
OK------>SoundKitFallback = 0x32f1a40
OK------>CelestialBody = 0x32f1ce0
OK------>SoundKit = 0x32f1f80
OK------>CloakDampening = 0x32f2220
OK------>SoundMixGroup = 0x32f24c0
OK------>SoundWaterfallEmitter = 0x32f2760
OK------>FootprintTextures = 0x32f2a00
OK------>FullScreenEffect = 0x32f2ca0
OK------>GroundEffectDoodad = 0x32f2f40
OK------>GroundEffectTexture = 0x32f31e0
OK------>Hotfixes = 0x32f3480
OK------>TerrainMaterial = 0x32f3720
OK------>Light = 0x32f39c0
OK------>Lightning = 0x32f3c60
OK------>TerrainType = 0x32f3f00
OK------>VirtualAttachment = 0x32f41a0
OK------>VirtualAttachmentCustomization = 0x32f4440
OK------>LightData = 0x32f46e0
OK------>VoiceOverPriority = 0x32f4980
OK------>Weather = 0x32f4c20
OK------>WeatherXParticulate = 0x32f4ec0
OK------>WindSettings = 0x32f5160
OK------>LightParams = 0x32f5400
OK------>WMOAreaTable = 0x32f56a0
OK------>ChatProfanity = 0x4c13850
OK------>NamesProfanity = 0x4c13af0
OK------>NamesReservedLocale = 0x4c13d90
OK------>NamesReserved = 0x4c14030
OK------>GlobalColor = 0x4c142d0
OK------>GlobalStrings = 0x4c14570
OK------>AzeriteTierUnlockSet = 0x4c14810
OK------>AzeriteEssencePower = 0x4c14ab0
OK------>AzeriteEssence = 0x4c14d50
OK------>CommentatorIndirectSpell = 0x4c14ff0
OK------>CommentatorTrackedCooldown = 0x4c15290
OK------>CommentatorStartLocation = 0x4c15530
OK------>ChrCustomizationCategory = 0x4c157d0
OK------>ManifestInterfaceData = 0x4c15a70
OK------>LFGDungeonExpansion = 0x4c15d10
OK------>OccluderCurtain = 0x4c15fb0
OK------>SkillLineXTraitTree = 0x4c47740
OK------>AzeriteKnowledgeMultiplier = 0x4c479e0
OK------>AzeriteLevelInfo = 0x4c47c80
OK------>SSAOSettings = 0x4c47f20
